root@6b0c533fcceb:/workspaces/linux-study# sar -r 1
Linux 5.15.49-linuxkit (6b0c533fcceb)   06/07/23        _aarch64_       (4 CPU)

23:34:44    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
23:36:18      2392364   6804524   5748848     70.61    199144   4570496   5860928     63.78   1725468   3669068         0
23:36:19      2396548   6808704   5744664     70.56    199144   4570496   5860928     63.78   1725472   3665424         0
23:36:20      2393668   6805824   5747544     70.60    199144   4570496   5862056     63.79   1725464   3666536         0

23:36:20    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
23:36:21      2390264   6802452   5750948     70.64    199152   4570496   5860928     63.78   1725468   3667536         0
23:36:22      2396576   6808772   5744636     70.56    199152   4570496   5860928     63.78   1725476   3662148         0
23:36:23      2395412   6807608   5745800     70.58    199152   4570496   5860928     63.78   1725472   3664604         0
23:36:24      2394900   6807092   5746312     70.58    199152   4570496   5860928     63.78   1725476   3667644         0
23:36:25      2393272   6805464   5747940     70.60    199152   4570496   5862056     63.79   1725480   3667868         0
23:36:26      2392940   6805136   5748272     70.61    199160   4570492   5860928     63.78   1725488   3669484         0
23:36:27      2393616   6805820   5747596     70.60    199160   4570496   5860928     63.78   1725484   3668304         0
23:36:28      2393064   6805268   5748148     70.61    199160   4570496   5859892     63.77   1725484   3666952         0
23:36:29      2392520   6804704   5748692     70.61    199160   4570496   5861724     63.79   1725500   3665752         4
23:36:30      2396656   6808884   5744556     70.56    199160   4570496   5861020     63.78   1725500   3665376         4
23:36:31      2397520   6813436   5743692     70.55    199164   4574180   5860028     63.77   1725492   3667584         4
23:36:32      2375344   6803484   5765868     70.82    199164   4586384   5860028     63.77   1725488   3683660         4

23:36:32    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
23:36:33      2359188   6799592   5782024     71.02    199164   4598680   5860028     63.77   1725488   3698544         4
23:36:34      2344196   6797776   5797016     71.21    199164   4611804   5861328     63.78   1725496   3712736         4
23:36:35      2332852   6798692   5808360     71.35    199164   4624000   5861444     63.78   1725496   3723344         4
23:36:36      2324032   6801668   5817180     71.45    199168   4635804   5860316     63.77   1725492   3733628         4
23:36:37      2305880   6796356   5835332     71.68    199168   4648576   5860316     63.77   1725492   3750900         4
23:36:38      2298236   6800980   5842976     71.77    199168   4660864   5860316     63.77   1725492   3759988         4
23:36:39      2283188   6797916   5858024     71.96    199168   4672836   5860316     63.77   1725496   3773484         4
23:36:40      2268848   6796504   5872364     72.13    199168   4685696   5861444     63.78   1725508   3786924         4
23:36:41      2258664   6798632   5882548     72.26    199176   4697840   5860316     63.77   1725504   3797732         4
23:36:42      2244760   6797020   5896452     72.43    199176   4710272   5860316     63.77   1725500   3811728         4
23:36:43      2234024   6798248   5907188     72.56    199176   4722076   5860316     63.77   1725500   3821848         4
23:36:44      2221016   6797868   5920196     72.72    199176   4734848   5860316     63.77   1725500   3835268         4

23:36:44    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
23:36:45      2208812   6795332   5932400     72.87    199176   4744436   5861444     63.78   1725500   3845952         4
23:36:46      2197988   6797240   5943224     73.00    199184   4757120   5860316     63.77   1725508   3858044         4
23:36:47      2186420   6797184   5954792     73.14    199184   4768660   5860316     63.77   1725508   3869272         4
23:36:48      2174076   6797440   5967136     73.30    199184   4781272   5860316     63.77   1725512   3881728         4
23:36:49      2160344   6795772   5980868     73.46    199184   4793228   5860316     63.77   1725508   3895320         4
23:36:50      2146932   6795128   5994280     73.63    199184   4805856   5861444     63.78   1725524   3908940         4
23:36:51      2135264   6795656   6005948     73.77    199192   4818136   5860316     63.77   1725520   3920932         4
23:36:52      2122448   6795224   6018764     73.93    199192   4830528   5860316     63.77   1725516   3933292         4
23:36:53      2109752   6795244   6031460     74.09    199192   4843228   5860316     63.77   1725516   3946136         4
23:36:54      2096828   6794672   6044384     74.24    199192   4855596   5860316     63.77   1725516   3958940         4
23:36:55      2085096   6794800   6056116     74.39    199192   4867228   5861444     63.78   1725512   3970072         4
23:36:56      2074392   6796444   6066820     74.52    199200   4879668   5860316     63.77   1725524   3981204         4

23:36:56    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
23:36:57      2061484   6795692   6079728     74.68    199200   4891800   5860316     63.77   1725528   3993852         4
23:36:58      2049732   6796616   6091480     74.82    199200   4904492   5860316     63.77   1725524   4006684         4
23:36:59      2036304   6795368   6104908     74.99    199200   4916620   5860316     63.77   1725524   4018876         4
23:37:00      2024892   6796208   6116320     75.13    199200   4928816   5861444     63.78   1725532   4030576         4
23:37:01      2014036   6797388   6127176     75.26    199208   4941024   5860316     63.77   1725532   4042316         4
23:37:02      2000916   6796788   6140296     75.42    199208   4953388   5860316     63.77   1725532   4054600         0
23:37:03      1987620   6795568   6153592     75.59    199208   4965364   5860316     63.77   1725532   4067820         0
23:37:04      1977684   6798208   6163528     75.71    199208   4977888   5860316     63.77   1725532   4079064         0
23:37:05      1962608   6795288   6178604     75.89    199208   4990024   5861576     63.78   1725540   4092892         0
23:37:06      1951304   6796796   6189908     76.03    199216   5002804   5860448     63.77   1725544   4104396         0
23:37:07      1939272   6797100   6201940     76.18    199216   5015172   5860448     63.77   1725540   4115984         0
23:37:08      1928816   6798908   6212396     76.31    199216   5027208   5860448     63.77   1725540   4127324         0

23:37:08    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
23:37:09      1916296   6798440   6224916     76.46    199216   5039332   5860448     63.77   1725540   4139952         0
23:37:10      1902336   6796664   6238876     76.63    199216   5051520   5861576     63.78   1725548   4153488         0
23:37:11      1889348   6796024   6251864     76.79    199224   5063664   5860448     63.77   1725544   4165396         0
23:37:12      1879432   6798176   6261780     76.91    199224   5075928   5860448     63.77   1725548   4176072         0
23:37:13      1867004   6798392   6274208     77.07    199224   5088480   5860448     63.77   1725548   4189016         0
23:37:14      1857880   6801352   6283332     77.18    199224   5100424   5860448     63.77   1725552   4200072         0
23:37:15      1841292   6797364   6299920     77.38    199224   5113136   5861576     63.78   1725560   4214192         0
23:37:16      1828992   6797312   6312220     77.53    199232   5125364   5860448     63.77   1725560   4226588         0
23:37:17      1818312   6798760   6322900     77.67    199232   5137460   5860448     63.77   1725556   4237012         0
23:37:18      1804692   6796968   6336520     77.83    199232   5149312   5860448     63.77   1725556   4250668         0
23:37:19      1791376   6796160   6349836     78.00    199232   5161720   5860448     63.77   1725556   4263324         0
23:37:20      1781560   6799004   6359652     78.12    199232   5174232   5861576     63.78   1725568   4274472         0

23:37:20    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
23:37:21      1767580   6797336   6373632     78.29    199240   5186628   5860448     63.77   1725564   4287092         0
23:37:22      1755672   6798508   6385540     78.43    199240   5199672   5860448     63.77   1725564   4299700         0
23:37:23      1744852   6799924   6396360     78.57    199240   5211968   5860448     63.77   1725572   4310396         0
23:37:24      1733304   6797640   6407908     78.71    199240   5221164   5860448     63.77   1725564   4322212         0
23:37:25      1734996   6808024   6406216     78.69    199240   5229796   5860792     63.78   1725560   4325948         4
23:37:26      1719008   6804200   6422204     78.89    199248   5241908   5859664     63.76   1725576   4338020         8
23:37:27      1706864   6804040   6434348     79.03    199248   5253880   5859664     63.76   1725572   4349784         8
23:37:28      1693200   6802972   6448012     79.20    199248   5266480   5859664     63.76   1725572   4362916         8
23:37:29      1681244   6802884   6459968     79.35    199248   5278280   5859664     63.76   1725572   4374388         8
23:37:30      1669672   6803980   6471540     79.49    199248   5290972   5860792     63.78   1725576   4385356         8
23:37:31      1661596   6802896   6479616     79.59    199256   5297884   5859664     63.76   1725584   4394116         8
23:37:32      1655824   6804916   6485388     79.66    199256   5305688   5859664     63.76   1725580   4399812         8

23:37:32    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
23:37:33      1639608   6801548   6501604     79.86    199256   5318532   5859664     63.76   1725580   4415272         8
23:37:34      1626980   6800644   6514232     80.02    199256   5330228   5859664     63.76   1725580   4427604         8
23:37:35      1614716   6800072   6526496     80.17    199256   5341700   5861496     63.78   1725584   4439460         8
23:37:36      1609520   6806376   6531692     80.23    199264   5353348   5860368     63.77   1725592   4448696         8
23:37:37      1600540   6808396   6540672     80.34    199264   5364312   5860368     63.77   1725588   4455540         8
23:37:38      1585792   6804864   6555420     80.52    199264   5375536   5860368     63.77   1725596   4472716         8
